index,tag1,tag2,tag3,tag4,tag5,article
1,当事人举证 ,,,,,原告向人民法院起诉或者被告提出反诉，应当附有符合起诉条件的相应的证据材料。 
2,当事人举证 ,,,,,当事人对自己提出的诉讼请求所依据的事实或者反驳对方诉讼请求所依据的事实有责任提供证据加以证明。 没有证据或者证据不足以证明当事人的事实主张的，由负有举证责任的当事人承担不利后果。 
3,当事人举证 ,,,,,人民法院应当向当事人说明举证的要求及法律后果，促使当事人在合理期限内积极、全面、正确、诚实地完成举证。 当事人因客观原因不能自行收集的证据，可申请人民法院调查收集。 
4,当事人举证 ,,,,,下列侵权诉讼，按照以下规定承担举证责任： （一）因新产品制造方法发明专利引起的专利侵权诉讼，由制造同样产品的单位或者个人对其产品制造方法不同于专利方法承担举证责任； （二）高度危险作业致人损害的侵权诉讼，由加害人就受害人故意造成损害的事实承担举证责任； （三）因环境污染引起的损害赔偿诉讼，由加害人就法律规定的免责事由及其行为与损害结果之间不存在因果关系承担举证责任； （四）建筑物或者其他设施以及建筑物上的搁置物、悬挂物发生倒塌、脱落、坠落致人损害的侵权诉讼，由所有人或者管理人对其无过错承担举证责任； （五）饲养动物致人损害的侵权诉讼，由动物饲养人或者管理人就受害人有过错或者第三人有过错承担举证责任；（六）因缺陷产品致人损害的侵权诉讼，由产品的生产者就法律规定的免责事由承担举证责任； （七）因共同危险行为致人损害的侵权诉讼，由实施危险行为的人就其行为与损害结果之间不存在因果关系承担举证责任； （八）因医疗行为引起的侵权诉讼，由医疗机构就医疗行为与损害结果之间不存在因果关系及不存在医疗过错承担举证责任。 有关法律对侵权诉讼的举证责任有特殊规定的，从其规定。 
5,当事人举证 ,,,,,在合同纠纷案件中，主张合同关系成立并生效的一方当事人对合同订立和生效的事实承担举证责任；主张合同关系变更、解除、终止、撤销的一方当事人对引起合同关系变动的事实承担举证责任。 对合同是否履行发生争议的，由负有履行义务的当事人承担举证责任。 对代理权发生争议的，由主张有代理权一方当事人承担举证责任。 
6,当事人举证 ,,,,,在劳动争议纠纷案件中，因用人单位作出开除、除名、辞退、解除劳动合同、减少劳动报酬、计算劳动者工作年限等决定而发生劳动争议的，由用人单位负举证责任。 
7,当事人举证 ,,,,,在法律没有具体规定，依本规定及其他司法解释无法确定举证责任承担时，人民法院可以根据公平原则和诚实信用原则，综合当事人举证能力等因素确定举证责任的承担。 
8,当事人举证 ,,,,,诉讼过程中，一方当事人对另一方当事人陈述的案件事实明确表示承认的，另一方当事人无需举证。但涉及身分关系的案件除外。对一方当事人陈述的事实，另一方当事人既未表示承认也未否认，经审判人员充分说明并询问后，其仍不明确表示肯定或者否定的，视为对该项事实的承认。 当事人委托代理人参加诉讼的，代理人的承认视为当事人的承认。但未经特别授权的代理人对事实的承认直接导致承认对方诉讼请求的除外；当事人在场但对其代理人的承认不作否认表示的，视为当事人的承认。 当事人在法庭辩论终结前撤回承认并经对方当事人同意，或者有充分证据证明其承认行为是在受胁迫或者重大误解情况下作出且与事实不符的，不能免除对方当事人的举证责任。 
9,当事人举证 ,,,,,下列事实，当事人无需举证证明： （一）众所周知的事实； （二）自然规律及定理； （三）根据法律规定或者已知事实和日常生活经验法则，能推定出的另一事实； （四）已为人民法院发生法律效力的裁判所确认的事实； （五）已为仲裁机构的生效裁决所确认的事实； （六）已为有效公证文书所证明的事实。 前款（一）、（三）、（四）、（五）、（六）项，当事人有相反证据足以推翻的除外。 
10,当事人举证 ,,,,,当事人向人民法院提供证据，应当提供原件或者原物。如需自己保存证据原件、原物或者提供原件、原物确有困难的，可以提供经人民法院核对无异的复制件或者复制品。 
