index,tag1,tag2,tag3,tag4,tag5,article
1,总则,,,,,为了维护道路运输市场秩序，保障道路运输安全，保护道路运输有关各方当事人的合法权益，促进道路运输业的健康发展，制定本条例。
2,总则,,,,,从事道路运输经营以及道路运输相关业务的，应当遵守本条例。前款所称道路运输经营包括道路旅客运输经营(以下简称客运经营)和道路货物运输经营(以下简称货运经营)；道路运输相关业务包括站(场)经营、机动车维修经营、机动车驾驶员培训。
3,总则,,,,,从事道路运输经营以及道路运输相关业务，应当依法经营，诚实信用，公平竞争。
4,总则,,,,,道路运输管理，应当公平、公正、公开和便民。
5,总则,,,,,国家鼓励发展乡村道路运输，并采取必要的措施提高乡镇和行政村的通班车率，满足广大农民的生活和生产需要。
6,总则,,,,,国家鼓励道路运输企业实行规模化、集约化经营。任何单位和个人不得封锁或者垄断道路运输市场。
7,总则,,,,,国务院交通主管部门主管全国道路运输管理工作。县级以上地方人民政府交通主管部门负责组织领导本行政区域的道路运输管理工作。县级以上道路运输管理机构负责具体实施道路运输管理工作。
8,道路运输经营,客运,,,,申请从事客运经营的，应当具备下列条件：(一)有与其经营业务相适应并经检测合格的车辆；(二)有符合本条例规定条件的驾驶人员；(三)有健全的安全生产管理制度。申请从事班线客运经营的，还应当有明确的线路和站点方案。
9,道路运输经营,客运,,,,从事客运经营的驾驶人员，应当符合下列条件：(一)取得相应的机动车驾驶证；(二)年龄不超过60周岁；(三)3年内无重大以上交通责任事故记录；(四)经设区的市级道路运输管理机构对有关客运法律法规、机动车维修和旅客急救基本知识考试合格。
10,道路运输经营,客运,,,,申请从事客运经营的，应当按照下列规定提出申请并提交符合本条例第八条规定条件的相关材料：(一)从事县级行政区域内客运经营的，向县级道路运输管理机构提出申请；(二)从事省、自治区、直辖市行政区域内跨2个县级以上行政区域客运经营的，向其共同的上一级道路运输管理机构提出申请；(三)从事跨省、自治区、直辖市行政区域客运经营的，向所在地的省、自治区、直辖市道路运输管理机构提出申请。依照前款规定收到申请的道路运输管理机构，应当自受理申请之日起20日内审查完毕，作出许可或者不予许可的决定。予以许可的，向申请人颁发道路运输经营许可证，并向申请人投入运输的车辆配发车辆营运证；不予许可的，应当书面通知申请人并说明理由。对从事跨省、自治区、直辖市行政区域客运经营的申请，有关省、自治区、直辖市道路运输管理机构依照本条第二款规定颁发道路运输经营许可证前，应当与运输线路目的地的省、自治区、直辖市道路运输管理机构协商；协商不成的，应当报国务院交通主管部门决定。客运经营者应当持道路运输经营许可证依法向工商行政管理机关办理有关登记手续。
11,道路运输经营,客运,,,,取得道路运输经营许可证的客运经营者，需要增加客运班线的，应当依照本条例第十条的规定办理有关手续。
12,道路运输经营,客运,,,,县级以上道路运输管理机构在审查客运申请时，应当考虑客运市场的供求状况、普遍服务和方便群众等因素。同一线路有3个以上申请人时，可以通过招标的形式作出许可决定。
13,道路运输经营,客运,,,,县级以上道路运输管理机构应当定期公布客运市场供求状况。
14,道路运输经营,客运,,,,客运班线的经营期限为4年到8年。经营期限届满需要延续客运班线经营许可的，应当重新提出申请。
15,道路运输经营,客运,,,,客运经营者需要终止客运经营的，应当在终止前30日内告知原许可机关。
16,道路运输经营,客运,,,,客运经营者应当为旅客提供良好的乘车环境，保持车辆清洁、卫生，并采取必要的措施防止在运输过程中发生侵害旅客人身、财产安全的违法行为。
17,道路运输经营,客运,,,,旅客应当持有效客票乘车，遵守乘车秩序，讲究文明卫生，不得携带国家规定的危险物品及其他禁止携带的物品乘车。
