index,tag1,tag2,tag3,tag4,tag5,article
1,,,,,,自然人因下列人格权利遭受非法侵害，向人民法院起诉请求赔偿精神损害的，人民法院应当依法予以受理：????（一）生命权、健康权、身体权；????（二）姓名权、肖像权、名誉权、荣誉权；????（三）人格尊严权、人身自由权。????违反社会公共利益、社会公德侵害他人隐私或者其他人格利益，受害人以侵权为由向人民法院起诉请求赔偿精神损害的，人民法院应当依法予以受理。
2,,,,,,非法使被监护人脱离监护，导致亲子关系或者近亲属间的亲属关系遭受严重损害，监护人向人民法院起诉请求赔偿精神损害的，人民法院应当依法予以受理。
3,,,,,,自然人死亡后，其近亲属因下列侵权行为遭受精神痛苦，向人民法院起诉请求赔偿精神损害的，人民法院应当依法予以受理：????（一）以侮辱、诽谤、贬损、丑化或者违反社会公共利益、社会公德的其他方式，侵害死者姓名、肖像、名誉、荣誉；????（二）非法披露、利用死者隐私，或者以违反社会公共利益、社会公德的其他方式侵害死者隐私；????（三）非法利用、损害遗体、遗骨，或者以违反社会公共利益、社会公德的其他方式侵害遗体、遗骨。
4,,,,,,具有人格象征意义的特定纪念物品，因侵权行为而永久性灭失或者毁损，物品所有人以侵权为由，向人民法院起诉请求赔偿精神损害的，人民法院应当依法予以受理。
5,,,,,,法人或者其他组织以人格权利遭受侵害为由，向人民法院起诉请求赔偿精神损害的，人民法院不予受理。
6,,,,,,当事人在侵权诉讼中没有提出赔偿精神损害的诉讼请求，诉讼终结后又基于同一侵权事实另行起诉请求赔偿精神损害的，人民法院不予受理。
7,,,,,,自然人因侵权行为致死，或者自然人死亡后其人格或者遗体遭受侵害，死者的配偶、父母和子女向人民法院起诉请求赔偿精神损害的，列其配偶、父母和子女为原告；没有配偶、父母和子女的，可以由其他近亲属提起诉讼，列其他近亲属为原告。
8,,,,,,因侵权致人精神损害，但未造成严重后果，受害人请求赔偿精神损害的，一般不予支持，人民法院可以根据情形判令侵权人停止侵害、恢复名誉、消除影响、赔礼道歉。????因侵权致人精神损害，造成严重后果的，人民法院除判令侵权人承担停止侵害、恢复名誉、消除影响、赔礼道歉等民事责任外，可以根据受害人一方的请求判令其赔偿相应的精神损害抚慰金。
9,,,,,,精神损害抚慰金包括以下方式：????（一）致人残疾的，为残疾赔偿金；????（二）致人死亡的，为死亡赔偿金；????（三）其他损害情形的精神抚慰金。
10,,,,,,精神损害的赔偿数额根据以下因素确定：????（一）侵权人的过错程度，法律另有规定的除外；????（二）侵害的手段、场合、行为方式等具体情节；????（三）侵权行为所造成的后果；????（四）侵权人的获利情况；????（五）侵权人承担责任的经济能力；????（六）受诉法院所在地平均生活水平。????法律、行政法规对残疾赔偿金、死亡赔偿金等有明确规定的，适用法律、行政法规的规定。
11,,,,,,受害人对损害事实和损害后果的发生有过错的，可以根据其过错程度减轻或者免除侵权人的精神损害赔偿责任。
12,,,,,,在本解释公布施行之前已经生效施行的司法解释，其内容有与本解释不一致的，以本解释为准。
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
