accuracy,law
0.974507874015748,诉讼法
0.9180118110236221,交通安全法
0.8124015748031496,侵权责任法
0.753740157480315,关于审理道路交通事故损害赔偿案件适用法律若干问题
0.6455708661417323,关于审理人身损害赔偿案件
0.6637795275590551,保险法
0.7753937007874016,机动车交通事故责任强制保险条例
0.8709645669291338,关于确定民事侵权精神损害赔偿责任若干问题
0.8912401574803149,民法通则
0.9880905511811023,食品安全法
0.9570866141732284,民事诉讼
0.966240157480315,最高人民法院关于适用的解释
0.9687007874015748,合同法
0.96998031496063,机动车交通事故责任强制保险条款
0.9899606299212599,最高人民法院关于审理食品药品纠纷案件适用法律若干问题的规定
0.9931102362204725,产品质量法
0.9940944881889764,诉讼费用交纳办法
0.9936023622047244,民法总则
0.9949803149606299,关于审理道路交通事故损害赔偿案件若干问题的解释
0.9961614173228347,消费者权益保护法
