index,tag1,tag2,tag3,tag4,tag5,article
1,总则,指导思想、原则和适用范围,,,,为了维护党章和其他党内法规，严肃党的纪律，纯洁党的组织，保障党员民主权利，教育党员遵纪守法，维护党的团结统一，保证党的路线、方针、政策、决议和国家法律法规的贯彻执行，根据《中国共产党章程》，制定本条例。
2,总则,指导思想、原则和适用范围,,,,党的纪律建设必须坚持以马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想、科学发展观、习近平新时代中国特色社会主义思想为指导，坚持和加强党的全面领导，坚决维护习近平总书记党中央的核心、全党的核心地位，坚决维护党中央权威和集中统一领导，落实新时代党的建设总要求和全面从严治党战略部署，全面加强党的纪律建设。
3,总则,指导思想、原则和适用范围,,,,党章是最根本的党内法规，是管党治党的总规矩。党的纪律是党的各级组织和全体党员必须遵守的行为规则。党组织和党员必须牢固树立政治意识、大局意识、核心意识、看齐意识，自觉遵守党章，严格执行和维护党的纪律，自觉接受党的纪律约束，模范遵守国家法律法规。
4,总则,指导思想、原则和适用范围,,,,党的纪律处分工作应当坚持以下原则： （一）坚持党要管党、全面从严治党。加强对党的各级组织和全体党员的教育、管理和监督，把纪律挺在前面，注重抓早抓小、防微杜渐。 （二）党纪面前一律平等。对违犯党纪的党组织和党员必须严肃、公正执行纪律，党内不允许有任何不受纪律约束的党组织和党员。 （三）实事求是。对党组织和党员违犯党纪的行为，应当以事实为依据，以党章、其他党内法规和国家法律法规为准绳，准确认定违纪性质，区别不同情况，恰当予以处理。 （四）民主集中制。实施党纪处分，应当按照规定程序经党组织集体讨论决定，不允许任何个人或者少数人擅自决定和批准。上级党组织对违犯党纪的党组织和党员作出的处理决定，下级党组织必须执行。 （五）惩前毖后、治病救人。处理违犯党纪的党组织和党员，应当实行惩戒与教育相结合，做到宽严相济。
5,总则,指导思想、原则和适用范围,,,,运用监督执纪“四种形态”，经常开展批评和自我批评、约谈函询，让“红红脸、出出汗”成为常态；党纪轻处分、组织调整成为违纪处理的大多数；党纪重处分、重大职务调整的成为少数；严重违纪涉嫌违法立案审查的成为极少数。
6,总则,指导思想、原则和适用范围,,,,本条例适用于违犯党纪应当受到党纪责任追究的党组织和党员。
7,总则,违纪与纪律处分,,,,党组织和党员违反党章和其他党内法规，违反国家法律法规，违反党和国家政策，违反社会主义道德，危害党、国家和人民利益的行为，依照规定应当给予纪律处理或者处分的，都必须受到追究。 重点查处党的十八大以来不收敛、不收手，问题线索反映集中、群众反映强烈，政治问题和经济问题交织的腐败案件，违反中央八项规定精神的问题。
8,总则,违纪与纪律处分,,,,对党员的纪律处分种类： （一）警告； （二）严重警告； （三）撤销党内职务； （四）留党察看； （五）开除党籍。
9,总则,违纪与纪律处分,,,,对于违犯党的纪律的党组织，上级党组织应当责令其作出检查或者进行通报批评。对于严重违犯党的纪律、本身又不能纠正的党组织，上一级党的委员会在查明核实后，根据情节严重的程度，可以予以： （一）改组； （二）解散。
10,总则,违纪与纪律处分,,,,党员受到警告处分一年内、受到严重警告处分一年半内，不得在党内提升职务和向党外组织推荐担任高于其原任职务的党外职务。
11,总则,违纪与纪律处分,,,,撤销党内职务处分，是指撤销受处分党员由党内选举或者组织任命的党内职务。对于在党内担任两个以上职务的，党组织在作处分决定时，应当明确是撤销其一切职务还是一个或者几个职务。如果决定撤销其一个职务，必须撤销其担任的最高职务。如果决定撤销其两个以上职务，则必须从其担任的最高职务开始依次撤销。对于在党外组织担任职务的，应当建议党外组织依照规定作出相应处理。 对于应当受到撤销党内职务处分，但是本人没有担任党内职务的，应当给予其严重警告处分。同时，在党外组织担任职务的，应当建议党外组织撤销其党外职务。 党员受到撤销党内职务处分，或者依照前款规定受到严重警告处分的，二年内不得在党内担任和向党外组织推荐担任与其原任职务相当或者高于其原任职务的职务。
12,总则,违纪与纪律处分,,,,留党察看处分，分为留党察看一年、留党察看二年。对于受到留党察看处分一年的党员，期满后仍不符合恢复党员权利条件的，应当延长一年留党察看期限。留党察看期限最长不得超过二年。 党员受留党察看处分期间，没有表决权、选举权和被选举权。留党察看期间，确有悔改表现的，期满后恢复其党员权利；坚持不改或者又发现其他应当受到党纪处分的违纪行为的，应当开除党籍。 党员受到留党察看处分，其党内职务自然撤销。对于担任党外职务的，应当建议党外组织撤销其党外职务。受到留党察看处分的党员，恢复党员权利后二年内，不得在党内担任和向党外组织推荐担任与其原任职务相当或者高于其原任职务的职务。
13,总则,违纪与纪律处分,,,,党员受到开除党籍处分，五年内不得重新入党，也不得推荐担任与其原任职务相当或者高于其原任职务的党外职务。另有规定不准重新入党的，依照规定。
14,总则,违纪与纪律处分,,,,党的各级代表大会的代表受到留党察看以上（含留党察看）处分的，党组织应当终止其代表资格。
15,总则,违纪与纪律处分,,,,对于受到改组处理的党组织领导机构成员，除应当受到撤销党内职务以上（含撤销党内职务）处分的外，均自然免职。
16,总则,违纪与纪律处分,,,,对于受到解散处理的党组织中的党员，应当逐个审查。其中，符合党员条件的，应当重新登记，并参加新的组织过党的生活；不符合党员条件的，应当对其进行教育、限期改正，经教育仍无转变的，予以劝退或者除名；有违纪行为的，依照规定予以追究。
17,总则,纪律处分运用规则,,,,有下列情形之一的，可以从轻或者减轻处分： （一）主动交代本人应当受到党纪处分的问题的； （二）在组织核实、立案审查过程中，能够配合核实审查工作，如实说明本人违纪违法事实的； （三）检举同案人或者其他人应当受到党纪处分或者法律追究的问题，经查证属实的； （四）主动挽回损失、消除不良影响或者有效阻止危害结果发生的； （五）主动上交违纪所得的； （六）有其他立功表现的。
18,总则,纪律处分运用规则,,,,根据案件的特殊情况，由中央纪委决定或者经省（部）级纪委（不含副省级市纪委）决定并呈报中央纪委批准，对违纪党员也可以在本条例规定的处分幅度以外减轻处分。
19,总则,纪律处分运用规则,,,,对于党员违犯党纪应当给予警告或者严重警告处分，但是具有本条例第十七条规定的情形之一或者本条例分则中另有规定的，可以给予批评教育、责令检查、诫勉或者组织处理，免予党纪处分。对违纪党员免予处分，应当作出书面结论。
20,总则,纪律处分运用规则,,,,有下列情形之一的，应当从重或者加重处分： （一）强迫、唆使他人违纪的； （二）拒不上交或者退赔违纪所得的； （三）违纪受处分后又因故意违纪应当受到党纪处分的； （四）违纪受到党纪处分后，又被发现其受处分前的违纪行为应当受到党纪处分的； （五）本条例另有规定的。
21,总则,纪律处分运用规则,,,,从轻处分，是指在本条例规定的违纪行为应当受到的处分幅度以内，给予较轻的处分。 从重处分，是指在本条例规定的违纪行为应当受到的处分幅度以内，给予较重的处分。
22,总则,纪律处分运用规则,,,,减轻处分，是指在本条例规定的违纪行为应当受到的处分幅度以外，减轻一档给予处分。 加重处分，是指在本条例规定的违纪行为应当受到的处分幅度以外，加重一档给予处分。 本条例规定的只有开除党籍处分一个档次的违纪行为，不适用第一款减轻处分的规定。
23,总则,纪律处分运用规则,,,,一人有本条例规定的两种以上（含两种）应当受到党纪处分的违纪行为，应当合并处理，按其数种违纪行为中应当受到的最高处分加重一档给予处分；其中一种违纪行为应当受到开除党籍处分的，应当给予开除党籍处分。
24,总则,纪律处分运用规则,,,,一个违纪行为同时触犯本条例两个以上（含两个）条款的，依照处分较重的条款定性处理。 一个条款规定的违纪构成要件全部包含在另一个条款规定的违纪构成要件中，特别规定与一般规定不一致的，适用特别规定。
25,总则,纪律处分运用规则,,,,二人以上（含二人）共同故意违纪的，对为首者，从重处分，本条例另有规定的除外；对其他成员，按照其在共同违纪中所起的作用和应负的责任，分别给予处分。 对于经济方面共同违纪的，按照个人所得数额及其所起作用，分别给予处分。对违纪集团的首要分子，按照集团违纪的总数额处分；对其他共同违纪的为首者，情节严重的，按照共同违纪的总数额处分。 教唆他人违纪的，应当按照其在共同违纪中所起的作用追究党纪责任。
26,总则,纪律处分运用规则,,,,党组织领导机构集体作出违犯党纪的决定或者实施其他违犯党纪的行为，对具有共同故意的成员，按共同违纪处理；对过失违纪的成员，按照各自在集体违纪中所起的作用和应负的责任分别给予处分。
27,总则,对违法犯罪党员的纪律处分,,,,党组织在纪律审查中发现党员有贪污贿赂、滥用职权、玩忽职守、权力寻租、利益输送、徇私舞弊、浪费国家资财等违反法律涉嫌犯罪行为的，应当给予撤销党内职务、留党察看或者开除党籍处分。
28,总则,对违法犯罪党员的纪律处分,,,,党组织在纪律审查中发现党员有刑法规定的行为，虽不构成犯罪但须追究党纪责任的，或者有其他违法行为，损害党、国家和人民利益的，应当视具体情节给予警告直至开除党籍处分。
29,总则,对违法犯罪党员的纪律处分,,,,党组织在纪律审查中发现党员严重违纪涉嫌违法犯罪的，原则上先作出党纪处分决定，并按照规定给予政务处分后，再移送有关国家机关依法处理。
30,总则,对违法犯罪党员的纪律处分,,,,党员被依法留置、逮捕的，党组织应当按照管理权限中止其表决权、选举权和被选举权等党员权利。根据监察机关、司法机关处理结果，可以恢复其党员权利的，应当及时予以恢复。
31,总则,对违法犯罪党员的纪律处分,,,,党员犯罪情节轻微，人民检察院依法作出不起诉决定的，或者人民法院依法作出有罪判决并免予刑事处罚的，应当给予撤销党内职务、留党察看或者开除党籍处分。 党员犯罪，被单处罚金的，依照前款规定处理。
32,总则,对违法犯罪党员的纪律处分,,,,党员犯罪，有下列情形之一的，应当给予开除党籍处分： （一）因故意犯罪被依法判处刑法规定的主刑（含宣告缓刑）的； （二）被单处或者附加剥夺政治权利的； （三）因过失犯罪，被依法判处三年以上（不含三年）有期徒刑的。 因过失犯罪被判处三年以下（含三年）有期徒刑或者被判处管制、拘役的，一般应当开除党籍。对于个别可以不开除党籍的，应当对照处分党员批准权限的规定，报请再上一级党组织批准。
33,总则,对违法犯罪党员的纪律处分,,,,党员依法受到刑事责任追究的，党组织应当根据司法机关的生效判决、裁定、决定及其认定的事实、性质和情节，依照本条例规定给予党纪处分，是公职人员的由监察机关给予相应政务处分。 党员依法受到政务处分、行政处罚，应当追究党纪责任的，党组织可以根据生效的政务处分、行政处罚决定认定的事实、性质和情节，经核实后依照规定给予党纪处分或者组织处理。 党员违反国家法律法规，违反企事业单位或者其他社会组织的规章制度受到其他纪律处分，应当追究党纪责任的，党组织在对有关方面认定的事实、性质和情节进行核实后，依照规定给予党纪处分或者组织处理。 党组织作出党纪处分或者组织处理决定后，司法机关、行政机关等依法改变原生效判决、裁定、决定等，对原党纪处分或者组织处理决定产生影响的，党组织应当根据改变后的生效判决、裁定、决定等重新作出相应处理。
34,总则,其他规定,,,,预备党员违犯党纪，情节较轻，可以保留预备党员资格的，党组织应当对其批评教育或者延长预备期；情节较重的，应当取消其预备党员资格。
35,总则,其他规定,,,,对违纪后下落不明的党员，应当区别情况作出处理： （一）对有严重违纪行为，应当给予开除党籍处分的，党组织应当作出决定，开除其党籍； （二）除前项规定的情况外，下落不明时间超过六个月的，党组织应当按照党章规定对其予以除名。
36,总则,其他规定,,,,违纪党员在党组织作出处分决定前死亡，或者在死亡之后发现其曾有严重违纪行为，对于应当给予开除党籍处分的，开除其党籍；对于应当给予留党察看以下（含留党察看）处分的，作出违犯党纪的书面结论和相应处理。
37,总则,其他规定,,,,违纪行为有关责任人员的区分： （一）直接责任者，是指在其职责范围内，不履行或者不正确履行自己的职责，对造成的损失或者后果起决定性作用的党员或者党员领导干部。 （二）主要领导责任者，是指在其职责范围内，对直接主管的工作不履行或者不正确履行职责，对造成的损失或者后果负直接领导责任的党员领导干部。 （三）重要领导责任者，是指在其职责范围内，对应管的工作或者参与决定的工作不履行或者不正确履行职责，对造成的损失或者后果负次要领导责任的党员领导干部。 本条例所称领导责任者，包括主要领导责任者和重要领导责任者。
38,总则,其他规定,,,,本条例所称主动交代，是指涉嫌违纪的党员在组织初核前向有关组织交代自己的问题，或者在初核和立案审查其问题期间交代组织未掌握的问题。
39,总则,其他规定,,,,计算经济损失主要计算直接经济损失。直接经济损失，是指与违纪行为有直接因果关系而造成财产损失的实际价值。
40,总则,其他规定,,,,对于违纪行为所获得的经济利益，应当收缴或者责令退赔。 对于违纪行为所获得的职务、职称、学历、学位、奖励、资格等其他利益，应当由承办案件的纪检机关或者由其上级纪检机关建议有关组织、部门、单位按照规定予以纠正。 对于依照本条例第三十五条、第三十六条规定处理的党员，经调查确属其实施违纪行为获得的利益，依照本条规定处理。
41,总则,其他规定,,,,党纪处分决定作出后，应当在一个月内向受处分党员所在党的基层组织中的全体党员及其本人宣布，是领导班子成员的还应当向所在党组织领导班子宣布，并按照干部管理权限和组织关系将处分决定材料归入受处分者档案；对于受到撤销党内职务以上（含撤销党内职务）处分的，还应当在一个月内办理职务、工资、工作及其他有关待遇等相应变更手续；涉及撤销或者调整其党外职务的，应当建议党外组织及时撤销或者调整其党外职务。特殊情况下，经作出或者批准作出处分决定的组织批准，可以适当延长办理期限。办理期限最长不得超过六个月。
42,总则,其他规定,,,,执行党纪处分决定的机关或者受处分党员所在单位，应当在六个月内将处分决定的执行情况向作出或者批准处分决定的机关报告。 党员对所受党纪处分不服的，可以依照党章及有关规定提出申诉。
43,总则,其他规定,,,,本条例总则适用于有党纪处分规定的其他党内法规，但是中共中央发布或者批准发布的其他党内法规有特别规定的除外。
44,分则,对违反政治纪律行为的处分,,,,在重大原则问题上不同党中央保持一致且有实际言论、行为或者造成不良后果的，给予警告或者严重警告处分；情节较重的，给予撤销党内职务或者留党察看处分；情节严重的，给予开除党籍处分。
45,分则,对违反政治纪律行为的处分,,,,通过网络、广播、电视、报刊、传单、书籍等，或者利用讲座、论坛、报告会、座谈会等方式，公开发表坚持资产阶级自由化立场、反对四项基本原则，反对党的改革开放决策的文章、演说、宣言、声明等的，给予开除党籍处分。 发布、播出、刊登、出版前款所列文章、演说、宣言、声明等或者为上述行为提供方便条件的，对直接责任者和领导责任者，给予严重警告或者撤销党内职务处分；情节严重的，给予留党察看或者开除党籍处分。
