index,tag1,tag2,tag3,tag4,tag5,article
1,公民,关于民事权利能力和民事行为能力问题,,,,公民的民事权利能力自出生时开始。出生的时间以户籍证明为准;没有户籍证明的，以医院出具的出生证明为准。没有医院证明的，参照其他有关证明认定。
2,公民,关于民事权利能力和民事行为能力问题,,,,十六周岁以上不满十八周岁的公民，能够以自己的劳动取得收入，并能维持当地群众一般生活水平的，可以认定为以自己的劳动收入为主要生活来源的完全民事行为能力人。
3,公民,关于民事权利能力和民事行为能力问题,,,,十周岁以上的未成年人进行的民事活动是否与其年龄、智力状况相适应，可以从行为与本人生活相关联的程度、本人的智力能否理解其行为，并预见相应的行为后果，以及行为标的数额等方面认定。
4,公民,关于民事权利能力和民事行为能力问题,,,,不能完全辨认自己行为的精神病人进行的民事活动，是否与其精神健康状态相适应，可以从行为与本人生活相关联的程度、本人的精神状态能否理解其行为，并预见相应的行为后果，以及行为标的数额等方面认定。
5,公民,关于民事权利能力和民事行为能力问题,,,,精神病人(包括痴呆症人)如果没有判断能力和自我保护能力，不知其行为后果的，可以认定为不能辨认自己行为的人;对于比较复杂的事物或者比较重大的行为缺乏判断能力和自我保护能力，并且不能预见其行为后果的，可以认定为不能完全辨认自己行为的人。
6,公民,关于民事权利能力和民事行为能力问题,,,,无民事行为能力人、限制民事行为能力人接受奖励、赠与、报酬，他人不得以行为人无民事行为能力、限制民事行为能力为由，主张以上行为无效。
7,公民,关于民事权利能力和民事行为能力问题,,,,当事人是否患有精神病，人民法院应当根据司法精神病学鉴定或者参照医院的诊断、鉴定确认。在不具备诊断、鉴定条件的情况下，也可以参照群众公认的当事人的精神状态认定，但应以利害关系人没有异议为限。
8,公民,关于民事权利能力和民事行为能力问题,,,,在诉讼中，当事人及利害关系人提出一方当事人患有精神病(包括痴呆症)，人民法院认为确有必要认定的，应当按照民事诉讼法(试行)规定的特别程序，先作出当事人有无民事行为能力的判决。
9,公民,关于民事权利能力和民事行为能力问题,,,,确认精神病人(包括痴呆症人)为限制民事行为能力人的，应当比照民事诉讼法(试行)规定的特别程序进行审理。
10,公民,关于民事权利能力和民事行为能力问题,,,,公民离开住所地最后连续居住一年以上的地方，为经常居住地。但住医院治病的除外。
11,公民,关于民事权利能力和民事行为能力问题,,,,公民由其户籍所在地迁出后至迁入另一地之前，无经常居住地的，仍以其原户籍所在地为住所。
12,公民,关于监护问题,,,,监护人的监护职责包括：保护被监护人的身体健康，照顾被监护人的生活，管理和保护被监护人的财产，代理被监护人进行民事活动，对被监护人进行管理和教育，在被监护人合法权益受到侵害或者与人发生争议时，代理其进行诉讼。
13,公民,关于监护问题,,,,认定监护人的监护能力，应当根据监护人的身体健康状况、经济条件，以及与被监护人在生活上的联系状况等因素确定。
14,公民,关于监护问题,,,,民法通则中规定的近亲属，包括配偶、父母、子女、兄弟姐妹、祖父?母、外祖父母、孙子女、外孙子女。
15,公民,关于监护问题,,,,为患有精神病的未成年人设定监护人，　适用民法通则第十六条的规定。
16,公民,关于监护问题,,,,人民法院指定监护人时，可以将民法通则第十六条第二款中的(一)、(二)、(三)项或者第十七条第一款中的(一)、(二)、(三)、(四)、(五)项规定视为指定监护人的顺序。前一顺序有监护资格的人无监护能力或者对被监护人明显不利的，人民法院可以根据对被监护人有利的原则，从后一顺序有监护资格的人中择优确定。被监护人有识别能力的，应视情况征求被监护人的意见。
17,公民,关于监护问题,,,,监护人可以是一人，也可以是同一顺序中的数人。
18,公民,关于监护问题,,,,有监护资格的人之间协议确定监护人的，应当由协议确定的监护人对被监护人承担监护责任。
19,公民,关于监护问题,,,,对于担任监护人有争议的，应当按照民法通则第十六条第三款或者第十七条第二款的规定，由有关组织予以指定。未经指定而向人民法院起诉的，人民法院不予受理。
20,公民,关于监护问题,,,,有关组织依照民法通则规定指定监护人，以书面或者口头通知了被指定人的，应当认定指定成立。被指定人不服的，应当在接到通知的次日起三十日内向人民法院起诉。逾期起诉的，按变更监护关系处理。
21,公民,关于监护问题,,,,监护人被指定后，不得自行变更。擅自变更的，由原被指定的监护人和变更后的监护人承担监护责任。
22,公民,关于监护问题,,,,被指定人对指定不服提起诉讼的，人民法院应当根据本意见第十四条的规定，作出维持或者撤销指定监护人的判决。如果判决是撤销原指定的，可以同时另行指定监护人。此类案件，比照民事诉讼法(试行)规定的特别程序进行审理。
23,公民,关于监护问题,,,,在人民法院作出判决前的监护责任，一般应当按照指定监护人的顺序，由有监护资格的人承担。
24,公民,关于监护问题,,,,监护人不履行监护职责，或者侵害了被监护人的合法权益，民法通则?第十六条、第十七条规定的其他有监护资格的人或者单位向人民法院起诉，要求监护人承担民事责任的，按照普通程序审理;要求变更监护关系的，按照特别程序审理;既要求承担民事责任，又要求变更监护关系的，分别审理。
25,公民,关于监护问题,,,,夫妻离婚后，与子女共同生活的一方无权取消对方对该子女的监护权;但是，未与该子女共同生活的一方，对该子女有犯罪行为、虐待行为或者对该子女明显不利的，人民法院认为可以取消的除外。
26,公民,关于监护问题,,,,监护人可以将监护职责部分或者全部委托给他人。因被监护人的侵权?行为需要承担民事责任的，应当由监护人承担，但另有约定的除外;被委托人确有过错的，负连带责任。
27,公民,关于监护问题,,,,夫妻一方死亡后，另一方将子女送给他人收养，如收养对子女的健康成长并无不利，又办了合法收养手续的，认定收养关系成立;其他有监护资格的人不得以收养未经其同意而主张收养关系无效。
28,公民,关于宣告失踪、宣告死亡问题,,,,申请宣告失踪的利害关系人，包括被申请宣告失踪人的配偶、父母、子女、兄弟姐妹、祖父母、外祖父母、孙子女、外孙子女以及其他与被申请人有民事权利义务关系的人。
29,公民,关于宣告失踪、宣告死亡问题,,,,申请宣告死亡的利害关系人的顺序是：(一)配偶;(二)父母、子女;(三)兄弟姐妹、祖父母、外祖父母、孙子女、外孙子女;(四)其他有民事权利义务关系的人。申请撤销死亡宣告不受上列顺序限制。
30,公民,关于宣告失踪、宣告死亡问题,,,,下落不明是指公民离开最后居住地后没有音讯的状况。对于在台湾或者在国外，无法正常通讯联系的，不得以下落不明宣告死亡。
31,公民,关于宣告失踪、宣告死亡问题,,,,战争期间下落不明的，申请宣告死亡的期间适用民法通则第二十三条?第一款第一项的规定。
32,公民,关于宣告失踪、宣告死亡问题,,,,民法通则第二十条第一款、第二十三条第一款第一项中的下落不明的起算时间，从公民音讯消失之次日起算。
33,公民,关于宣告失踪、宣告死亡问题,,,,宣告失踪的案件，由被宣告失踪人住所地的基层人民法院管辖。住所地与居住地不一致的，由最后居住地的基层人民法院管辖。
34,公民,关于宣告失踪、宣告死亡问题,,,,宣告失踪不是宣告死亡的必经程序。公民下落不明，符合申请宣告死亡的条件，利害关系人可以不经申请宣告失踪而直接申请宣告死亡。但利害关系人只申请宣告失踪的，应当宣告失踪;同一顺序的利害关系人，有的申请宣告死亡，有的不同意宣告死亡，则应当宣告死亡。
35,公民,关于宣告失踪、宣告死亡问题,,,,人民法院指定失踪人的财产代管人，应当根据有利于保护失踪人财产的原则指定。没有民法通则第二十一条规定的代管人，或者他们无能力作代管人，或者不宜作代管人的，人民法院可以指定公民或者有关组织为失踪人的财产代管人。
36,公民,关于宣告失踪、宣告死亡问题,,,,无民事行为能力人、限制民事行为能力人失踪的，其监护人即为财产代管人。
37,公民,关于宣告失踪、宣告死亡问题,,,,民法通则第二十一条第二款中的“其他费用”，包括赡养费、扶养费、抚育费和因代管财产所需的管理费等必要的费用。
38,公民,关于宣告失踪、宣告死亡问题,,,,失踪人的财产代管人拒绝支付失踪人所欠的税款、债务和其他费用，债权人提起诉讼的，人民法院应当将代管人列为被告。
39,公民,关于宣告失踪、宣告死亡问题,,,,失踪人的财产代管人向失踪人的债务人要求偿还债务的，可以作为原告提起诉讼。
40,公民,关于宣告失踪、宣告死亡问题,,,,债务人下落不明，但未被宣告失踪，债权人起诉要求清偿债务的，人民法院可以在公告传唤后缺席判决或者按中止诉讼处理。
