index,tag1,tag2,tag3,tag4,tag5,article
1,,,,,,为正确审理人身损害赔偿案件，依法保护当事人的合法权益，根据《中华人民共和国民法通则》以下简称民法通则　、《中华人民共和国民事诉讼法》以下简称民事诉讼法等有关法律规定，结合审判实践，就有关适用法律的问题作如下解释：
2,,,,,,因生命、健康、身体遭受侵害，赔偿权利人起诉请求赔偿义务人赔偿财产损失和精神损害的，人民法院应予受理。本条所称“赔偿权利人”，是指因侵权行为或者其他致害原因直接遭受人身损害的受害人、依法由受害人承担扶养义务的被扶养人以及死亡受害人的近亲属。本条所称“赔偿义务人”，是指因自己或者他人的侵权行为以及其他致害原因依法应当承担民事责任的自然人、法人或者其他组织。
3,,,,,,受害人对同一损害的发生或者扩大有故意、过失的，依照民法通则第一百三十一条的规定，可以减轻或者免除赔偿义务人的赔偿责任。但侵权人因故意或者重大过失致人损害，受害人只有一般过失的，不减轻赔偿义务人的赔偿责任。适用民法通则第一百零六条第三款规定确定赔偿义务人的赔偿责任时，受害人有重大过失的，可以减轻赔偿义务人的赔偿责任。
4,,,,,,二人以上共同故意或者共同过失致人损害，或者虽无共同故意、共同过失，但其侵害行为直接结合发生同一损害后果的，构成共同侵权，应当依照民法通则第一百三十条规定承担连带责任。二人以上没有共同故意或者共同过失，但其分别实施的数个行为间接结合发生同一损害后果的，应当根据过失大小或者原因力比例各自承担相应的赔偿责任。
5,,,,,,二人以上共同实施危及他人人身安全的行为并造成损害后果，不能确定实际侵害行为人的，应当依照民法通则第一百三十条规定承担连带责任。共同危险行为人能够证明损害后果不是由其行为造成的，不承担赔偿责任。
6,,,,,,赔偿权利人起诉部分共同侵权人的，人民法院应当追加其他共同侵权人作为共同被告。赔偿权利人在诉讼中放弃对部分共同侵权人的诉讼请求的，其他共同侵权人对被放弃诉讼请求的被告应当承担的赔偿份额不承担连带责任。责任范围难以确定的，推定各共同侵权人承担同等责任。人民法院应当将放弃诉讼请求的法律后果告知赔偿权利人，并将放弃诉讼请求的情况在法律文书中叙明。
7,,,,,, 从事住宿、餐饮、娱乐等经营活动或者其他社会活动的自然人、法人、其他组织，未尽合理限度范围内的安全保障义务致使他人遭受人身损害，赔偿权利人请求其承担相应赔偿责任的，人民法院应予支持。因第三人侵权导致损害结果发生的，由实施侵权行为的第三人承担赔偿责任。安全保障义务人有过错的，应当在其能够防止或者制止损害的范围内承担相应的补充赔偿责任。安全保障义务人承担责任后，可以向第三人追偿。赔偿权利人起诉安全保障义务人的，应当将第三人作为共同被告，但第三人不能确定的除外。
8,,,,,,对未成年人依法负有教育、管理、保护义务的学校、幼儿园或者其他教育机构，未尽职责范围内的相关义务致使未成年人遭受人身损害，或者未成年人致他人人身损害的，应当承担与其过错相应的赔偿责任。第三人侵权致未成年人遭受人身损害的，应当承担赔偿责任。学校、幼儿园等教育机构有过错的，应当承担相应的补充赔偿责任。
9,,,,,,法人或者其他组织的法定代表人、负责人以及工作人员，在执行职务中致人损害的，依照民法通则第一百二十一条的规定，由该法人或者其他组织承担民事责任。上述人员实施与职务无关的行为致人损害的，应当由行为人承担赔偿责任。属于《国家赔偿法》赔偿事由的，依照《国家赔偿法》的规定处理。
10,,,,,,雇员在从事雇佣活动中致人损害的，雇主应当承担赔偿责任；雇员因故意或者重大过失致人损害的，应当与雇主承担连带赔偿责任。雇主承担连带赔偿责任的，可以向雇员追偿。前款所称“从事雇佣活动”，是指从事雇主授权或者指示范围内的生产经营活动或者其他劳务活动。雇员的行为超出授权范围，但其表现形式是履行职务或者与履行职务有内在联系的，应当认定为“从事雇佣活动”。
11,,,,,,承揽人在完成工作过程中对第三人造成损害或者造成自身损害的，定作人不承担赔偿责任。但定作人对定作、指示或者选任有过失的，应当承担相应的赔偿责任。
12,,,,,,雇员在从事雇佣活动中遭受人身损害，雇主应当承担赔偿责任。雇佣关系以外的第三人造成雇员人身损害的，赔偿权利人可以请求第三人承担赔偿责任，也可以请求雇主承担赔偿责任。雇主承担赔偿责任后，可以向第三人追偿。雇员在从事雇佣活动中因安全生产事故遭受人身损害，发包人、分包人知道或者应当知道接受发包或者分包业务的雇主没有相应资质或者安全生产条件的，应当与雇主承担连带赔偿责任。属于《工伤保险条例》调整的劳动关系和工伤保险范围的，不适用本条规定。
13,,,,,, 依法应当参加工伤保险统筹的用人单位的劳动者，因工伤事故遭受人身损害，劳动者或者其近亲属向人民法院起诉请求用人单位承担民事赔偿责任的，告知其按《工伤保险条例》的规定处理。因用人单位以外的第三人侵权造成劳动者人身损害，赔偿权利人请求第三人承担民事赔偿责任的，人民法院应予支持。
14,,,,,,为他人无偿提供劳务的帮工人，在从事帮工活动中致人损害的，被帮工人应当承担赔偿责任。被帮工人明确拒绝帮工的，不承担赔偿责任。帮工人存在故意或者重大过失，赔偿权利人请求帮工人和被帮工人承担连带责任的，人民法院应予支持。
15,,,,,,帮工人因帮工活动遭受人身损害的，被帮工人应当承担赔偿责任。被帮工人明确拒绝帮工的，不承担赔偿责任；但可以在受益范围内予以适当补偿。帮工人因第三人侵权遭受人身损害的，由第三人承担赔偿责任。第三人不能确定或者没有赔偿能力的，可以由被帮工人予以适当补偿。
16,,,,,,为维护国家、集体或者他人的合法权益而使自己受到人身损害，因没有侵权人、不能确定侵权人或者侵权人没有赔偿能力，赔偿权利人请求受益人在受益范围内予以适当补偿的，人民法院应予支持。
17,,,,,,下列情形，适用民法通则第一百二十六条的规定，由所有人或者管理人承担赔偿责任，但能够证明自己没有过错的除外：（一）道路、桥梁、隧道等人工建造的构筑物因维护、管理瑕疵致人损害的；（二）堆放物品滚落、滑落或者堆放物倒塌致人损害的；（三）树木倾倒、折断或者果实坠落致人损害的。前款第（一）项情形，因设计、施工缺陷造成损害的，由所有人、管理人与设计、施工者承担连带责任。
