index,tag1,tag2,tag3,tag4,tag5,article
1,,,,,,为了依法及时有效地执行生效法律文书，维护当事人的合法权益，根据2007年10月修改后的《中华人民共和国民事诉讼法》（以下简称民事诉讼法），结合人民法院执行工作实际，对执行程序中适用法律的若干问题作出如下解释：
2,,,,,,申请执行人向被执行的财产所在地人民法院申请执行的，应当提供该人民法院辖区有可供执行财产的证明材料。
3,,,,,,对两个以上人民法院都有管辖权的执行案件，人民法院在立案前发现其他有管辖权的人民法院已经立案的，不得重复立案。立案后发现其他有管辖权的人民法院已经立案的，应当撤销案件；已经采取执行措施的，应当将控制的财产交先立案的执行法院处理。
4,,,,,,人民法院受理执行申请后，当事人对管辖权有异议的，应当自收到执行通知书之日起十日内提出。人民法院对当事人提出的异议，应当审查。异议成立的，应当撤销执行案件，并告知当事人向有管辖权的人民法院申请执行；异议不成立的，裁定驳回。当事人对裁定不服的，可以向上一级人民法院申请复议。管辖权异议审查和复议期间，不停止执行。
5,,,,,,对人民法院采取财产保全措施的案件，申请执行人向采取保全措施的人民法院以外的其他有管辖权的人民法院申请执行的，采取保全措施的人民法院应当将保全的财产交执行法院处理。
6,,,,,,执行过程中，当事人、利害关系人认为执行法院的执行行为违反法律规定的，可以依照民事诉讼法第二百零二条的规定提出异议。执行法院审查处理执行异议，应当自收到书面异议之日起十五日内作出裁定。
7,,,,,,当事人、利害关系人依照民事诉讼法第二百零二条规定申请复议的，应当采取书面形式。
8,,,,,,当事人、利害关系人申请复议的书面材料，可以通过执行法院转交，也可以直接向执行法院的上一级人民法院提交。执行法院收到复议申请后，应当在五日内将复议所需的案卷材料报送上一级人民法院；上一级人民法院收到复议申请后，应当通知执行法院在五日内报送复议所需的案卷材料。
9,,,,,,上一级人民法院对当事人、利害关系人的复议申请，应当组成合议庭进行审查。
10,,,,,,当事人、利害关系人依照民事诉讼法第二百零二条规定申请复议的，上一级人民法院应当自收到复议申请之日起三十日内审查完毕，并作出裁定。有特殊情况需要延长的，经本院院长批准，可以延长，延长的期限不得超过三十日。
11,,,,,,执行异议审查和复议期间，不停止执行。被执行人、利害关系人提供充分、有效的担保请求停止相应处分措施的，人民法院可以准许；申请执行人提供充分、有效的担保请求继续执行的，应当继续执行。
12,,,,,,依照民事诉讼法第二百零三条的规定，有下列情形之一的，上一级人民法院可以根据申请执行人的申请，责令执行法院限期执行或者变更执行法院：（一）债权人申请执行时被执行人有可供执行的财产，执行法院自收到申请执行书之日起超过六个月对该财产未执行完结的；（二）执行过程中发现被执行人可供执行的财产，执行法院自发现财产之日起超过六个月对该财产未执行完结的；（三）对法律文书确定的行为义务的执行，执行法院自收到申请执行书之日起超过六个月未依法采取相应执行措施的；（四）其他有条件执行超过六个月未执行的。
13,,,,,,上一级人民法院依照民事诉讼法第二百零三条规定责令执行法院限期执行的，应当向其发出督促执行令，并将有关情况书面通知申请执行人。上一级人民法院决定由本院执行或者指令本辖区其他人民法院执行的，应当作出裁定，送达当事人并通知有关人民法院。
14,,,,,,上一级人民法院责令执行法院限期执行，执行法院在指定期间内无正当理由仍未执行完结的，上一级人民法院应当裁定由本院执行或者指令本辖区其他人民法院执行。
15,,,,,,民事诉讼法第二百零三条规定的六个月期间，不应当计算执行中的公告期间、鉴定评估期间、管辖争议处理期间、执行争议协调期间、暂缓执行期间以及中止执行期间。
16,,,,,,案外人对执行标的主张所有权或者有其他足以阻止执行标的转让、交付的实体权利的，可以依照民事诉讼法第二百零四条的规定，向执行法院提出异议。
17,,,,,,案外人异议审查期间，人民法院不得对执行标的进行处分。案外人向人民法院提供充分、有效的担保请求解除对异议标的的查封、扣押、冻结的，人民法院可以准许；申请执行人提供充分、有效的担保请求继续执行的，应当继续执行。因案外人提供担保解除查封、扣押、冻结有错误，致使该标的无法执行的，人民法院可以直接执行担保财产；申请执行人提供担保请求继续执行有错误，给对方造成损失的，应当予以赔偿。
18,,,,,,案外人依照民事诉讼法第二百零四条规定提起诉讼，对执行标的主张实体权利，并请求对执行标的停止执行的，应当以申请执行人为被告；被执行人反对案外人对执行标的所主张的实体权利的，应当以申请执行人和被执行人为共同被告。
19,,,,,,案外人依照民事诉讼法第二百零四条规定提起诉讼的，由执行法院管辖。
20,,,,,,案外人依照民事诉讼法第二百零四条规定提起诉讼的，执行法院应当依照诉讼程序审理。经审理，理由不成立的，判决驳回其诉讼请求；理由成立的，根据案外人的诉讼请求作出相应的裁判。
21,,,,,,案外人依照民事诉讼法第二百零四条规定提起诉讼的，诉讼期间，不停止执行。案外人的诉讼请求确有理由或者提供充分、有效的担保请求停止执行的，可以裁定停止对执行标的进行处分；申请执行人提供充分、有效的担保请求继续执行的，应当继续执行。案外人请求停止执行、请求解除查封、扣押、冻结或者申请执行人请求继续执行有错误，给对方造成损失的，应当予以赔偿。
22,,,,,,申请执行人依照民事诉讼法第二百零四条规定提起诉讼，请求对执行标的许可执行的，应当以案外人为被告；被执行人反对申请执行人请求的，应当以案外人和被执行人为共同被告。
