index,tag1,tag2,tag3,tag4,tag5,article
,,,,,,《司法鉴定程序通则》已经2007年7月18日司法部部务会议审议通过，现予公布，自2007年10月1日起施行。
,总则,,,,,为了规范司法鉴定机构和司法鉴定人的司法鉴定活动，保障司法鉴定质量，保障诉讼活动的顺利进行，根据《全国人民代表大会常务委员会关于司法鉴定管理问题的决定》和有关法律、法规的规定，制定本通则。
,,,,,,司法鉴定程序是指司法鉴定机构和司法鉴定人进行司法鉴定活动应当遵循的方式、方法、步骤以及相关的规则和标准。本通则适用于司法鉴定机构和司法鉴定人从事各类司法鉴定业务的活动。
,,,,,,司法鉴定机构和司法鉴定人进行司法鉴定活动，应当遵守法律、法规、规章，遵守职业道德和职业纪律，尊重科学，遵守技术操作规范。
,,,,,,司法鉴定实行鉴定人负责制度。司法鉴定人应当依法独立、客观、公正地进行鉴定，并对自己作出的鉴定意见负责。
,,,,,,司法鉴定机构和司法鉴定人应当保守在执业活动中知悉的国家秘密、商业秘密，不得泄露个人隐私。未经委托人的同意，不得向其他人或者组织提供与鉴定事项有关的信息，但法律、法规另有规定的除外。
,,,,,,司法鉴定机构和司法鉴定人在执业活动中应当依照有关诉讼法律和本通则规定实行回避。
,,,,,,司法鉴定人经人民法院依法通知，应当出庭作证，回答与鉴定事项有关的问题。
,,,,,,司法鉴定机构应当统一收取司法鉴定费用，收费的项目和标准执行国家的有关规定。
,,,,,,司法鉴定机构和司法鉴定人进行司法鉴定活动应当依法接受监督。对于有违反有关法律规定行为的，由司法行政机关依法给予相应的行政处罚；有违反司法鉴定行业规范行为的，由司法鉴定行业组织给予相应的行业处分。
,,,,,,司法鉴定机构应当加强对司法鉴定人进行司法鉴定活动的管理和监督。司法鉴定人有违反本通则或者所属司法鉴定机构管理规定行为的，司法鉴定机构应当予以纠正。
,司法鉴定的委托与受理,,,,,司法鉴定机构应当统一受理司法鉴定的委托。
,,,,,,司法鉴定机构接受鉴定委托，应当要求委托人出具鉴定委托书，提供委托人的身份证明，并提供委托鉴定事项所需的鉴定材料。委托人委托他人代理的，应当要求出具委托书。本通则所指鉴定材料包括检材和鉴定资料。检材是指与鉴定事项有关的生物检材和非生物检材；鉴定资料是指存在于各种载体上与鉴定事项有关的记录。鉴定委托书应当载明委托人的名称或者姓名、拟委托的司法鉴定机构的名称、委托鉴定的事项、鉴定事项的用途以及鉴定要求等内容。委托鉴定事项属于重新鉴定的，应当在委托书中注明。
,,,,,,委托人应当向司法鉴定机构提供真实、完整、充分的鉴定材料，并对鉴定材料的真实性、合法性负责。委托人不得要求或者暗示司法鉴定机构和司法鉴定人按其意图或者特定目的提供鉴定意见。
,,,,,,司法鉴定机构收到委托，应当对委托的鉴定事项进行审查，对属于本机构司法鉴定业务范围，委托鉴定事项的用途及鉴定要求合法，提供的鉴定材料真实、完整、充分的鉴定委托，应当予以受理。对提供的鉴定材料不完整、不充分的，司法鉴定机构可以要求委托人补充；委托人补充齐全的，可以受理。
,,,,,,司法鉴定机构对符合受理条件的鉴定委托，应当即时作出受理的决定；不能即时决定受理的，应当在7个工作日内作出是否受理的决定，并通知委托人；对通过信函提出鉴定委托的，应当在10个工作日内作出是否受理的决定，并通知委托人；对疑难、复杂或者特殊鉴定事项的委托，可以与委托人协商确定受理的时间。
,,,,,,具有下列情形之一的鉴定委托，司法鉴定机构不得受理：（一）委托事项超出本机构司法鉴定业务范围的；（二）鉴定材料不真实、不完整、不充分或者取得方式不合法的；（三）鉴定事项的用途不合法或者违背社会公德的；（四）鉴定要求不符合司法鉴定执业规则或者相关鉴定技术规范的；（五）鉴定要求超出本机构技术条件和鉴定能力的；（六）不符合本通则第二十九条规定的；（七）其他不符合法律、法规、规章规定情形的。对不予受理的，应当向委托人说明理由，退还其提供的鉴定材料。
,,,,,,司法鉴定机构决定受理鉴定委托的，应当与委托人在协商一致的基础上签订司法鉴定协议书。司法鉴定协议书应当载明下列事项：（一）委托人和司法鉴定机构的基本情况；（二）委托鉴定的事项及用途；（三）委托鉴定的要求；（四）委托鉴定事项涉及的案件的简要情况；（五）委托人提供的鉴定材料的目录和数量；（六）鉴定过程中双方的权利、义务；（七）鉴定费用及收取方式；（八）其他需要载明的事项。因鉴定需要耗尽或者可能损坏检材的，或者在鉴定完成后无法完整退还检材的，应当事先向委托人讲明，征得其同意或者认可，并在协议书中载明。在进行司法鉴定过程中需要变更协议书内容的，应当由协议双方协商确定。
,司法鉴定的实施,,,,,司法鉴定机构受理鉴定委托后，应当指定本机构中具有该鉴定事项执业资格的司法鉴定人进行鉴定。委托人有特殊要求的，经双方协商一致，也可以从本机构中选择符合条件的司法鉴定人进行鉴定。
,,,,,,司法鉴定机构对同一鉴定事项，应当指定或者选择2名司法鉴定人共同进行鉴定；对疑难、复杂或者特殊的鉴定事项，可以指定或者选择多名司法鉴定人进行鉴定。
,,,,,,司法鉴定人本人或者其近亲属与委托人、委托的鉴定事项或者鉴定事项涉及的案件有利害关系，可能影响其独立、客观、公正进行鉴定的，应当回避。司法鉴定人自行提出回避的，由其所属的司法鉴定机构决定；委托人要求司法鉴定人回避的，应当向该鉴定人所属的司法鉴定机构提出，由司法鉴定机构决定。委托人对司法鉴定机构是否实行回避的决定有异议的，可以撤销鉴定委托。
,,,,,,司法鉴定机构应当严格依照有关技术规范保管和使用鉴定材料，严格监控鉴定材料的接收、传递、检验、保存和处置，建立科学、严密的管理制度。司法鉴定机构和司法鉴定人因严重不负责任造成鉴定材料损毁、遗失的，应当依法承担责任。
,,,,,,司法鉴定人进行鉴定，应当依下列顺序遵守和采用该专业领域的技术标准和技术规范：（一）国家标准和技术规范；（二）司法鉴定主管部门、司法鉴定行业组织或者相关行业主管部门制定的行业标准和技术规范；（三）该专业领域多数专家认可的技术标准和技术规范。不具备前款规定的技术标准和技术规范的，可以采用所属司法鉴定机构自行制定的有关技术规范。
