index,tag1,tag2,tag3,tag4,tag5,article
1,总则,,,,,为了保障公民依法行使集会、游行、示威的权利，维护公共秩序和社会安定，根据宪法，制定本法。
2,,,,,,在中华人民共和国境内举行集会、游行、示威，均适用本法。本法所称集会，是指聚集于露天公共场所，发表意见、表达意愿的活动。本法所称游行，是指在公共道路、露天公共场所列队行进、表达共同意愿的活动。本法所称示威，是指在露天公共场所或者公共道路上集会、游行、静坐等方式，表达要求、抗议或者支持、声援等共同意愿的活动。文娱、体育活动，正常的宗教活动，传统的民间习俗活动，不适用本法。
3,,,,,,公民行使集会、游行、示威的权利，各级人民政府应当依照本法规定，予以保障。
4,,,,,,公民行使集会、游行、示威的权利的时候，必须遵守宪法和法律，不得反对宪法所确定的基本原则，不得损害国家的、社会的、集体的利益和其他公民的合法的自由和权利。
5,,,,,,集会、游行、示威应当和平地进行，不得携带武器、管制刀具和爆炸物，不得使用暴力或者煽动使用暴力。
6,,,,,,集会、游行、示威的主管机关，是集会、游行、示威举行地的市、县公安局、城市公安分局；游行、示威路线经过两个以上区、县的，主管机关为所经过区、县的公安机关的共同上一级公安机关。
7,集会游行示威的申请和许可,,,,,举行集会、游行、示威，必须依照本法规定向主管机关提出申请并获得许可。下列活动不需申请：国家举行或者根据国家决定举行的庆祝、纪念等活动；国家机关、政党、社会团体、企业事业组织依照法律、组织章程举行的集会。
8,,,,,,举行集会、游行、示威，必须有负责人。依照本法规定需要申请的集会、游行、示威，其负责人必须在举行日期的五日前向主管机关递交书面申请。申请书中应当载明集会、游行、示威的目的、方式、标语、口号、人数、车辆数、使用音响设备的种类与数量、起止时间、地点（包括集合地和解散地）、路线和负责人的姓名、职业、住址。
9,,,,,,主管机关接到集会、游行、示威申请书后，应当在申请举行日期的二日前，将许可或者不许可的决定书面通知其负责人。不许可的，应当说明理由。逾期不通知的，视为许可。确因突然发生的事件临时要求举行集会、游行、示威的，必须立即报告主管机关；主管机关接到报告后，应当审查决定许可或者不许可。
10,,,,,,申请举行集会、游行、示威要求解决具体问题的，主管机关接到申请书后，可以通知有关机关或者单位同集会、游行、示威的负责人协商解决问题，并可以将申请举行的时间推迟五日。
11,,,,,,主管机关认为按照申请的时间、地点、路线举行集会、游行、示威，将对交通秩序和社会秩序造成严重影响的，在决定许可时或者决定许可后，可以变更举行集会、游行、示威的时间、地点、路线，并及时通知其负责人。
12,,,,,,申请举行的集会、游行、示威，有下列情形之一的，不予许可：反对宪法所确定的基本原则的；危害国家统一、主权和领土完整的；煽动民族分裂的；有充分根据认定申请举行的集会、游行、示威将直接危害公共安全或者严重破坏社会秩序的。
13,,,,,,集会、游行、示威的负责人对主管机关不许可的决定不服的，可以自接到决定通知之日起三日内，向同级人民政府申请复议，人民政府应当自接到申请复议书之日起三日内作出决定。
14,,,,,,集会、游行、示威的负责人在提出申请后接到主管机关通知前，可以撤回申请；接到主管机关许可的通知后，决定不举行集会、游行、示威的，应当及时告知主管机关，参加人已经集合的，应当负责解散。
15,,,,,,公民不得在其居住地以外的城市发动、组织、参加当地公民的集会、游行、示威。
16,,,,,,国家机关工作人员不得组织或者参加违背有关法律、法规规定的国家机关工作人员职责、义务的集会、游行、示威。
