index,tag1,tag2,tag3,tag4,tag5,article
1,第一章总则,,,,,为规范最高人民法院对外委托鉴定、评估、拍卖等工作，保护当事人的合法权益，维护司法公正，根据《中华人民共和国刑事诉讼法》、《中华人民共和国民事诉讼法》、《中华人民共和国行政诉讼法》、《全国人大常委会关于司法鉴定管理问题的决定》和《最高人民法院关于地方各级人民法院设立司法技术辅助工作机构的通知》的规定，结合最高人民法院对外委托鉴定、评估、拍卖等工作实际，制定本规定。
2,,,,,,对外委托鉴定、评估、拍卖等工作是指人民法院审判和执行工作中委托专门机构或专家进行鉴定、检验、评估、审计、拍卖、变卖和指定破产清算管理人等工作，并进行监督协调的司法活动。
3,,,,,,最高人民法院司法辅助工作部门负责统一办理审判、执行工作中需要对外委托鉴定、检验、评估、审计、拍卖、变卖和指定破产清算管理人等工作。
4,,,,,,涉及到举证时效、证据的质证与采信、评估基准日、拍卖保留价的确定，拍卖撤回、暂缓与中止等影响当事人相关权利义务的事项由审判、执行部门决定。
5,,,,,,对外委托鉴定、评估、拍卖等工作按照公开、公平、择优的原则，实行对外委托名册制度，最高人民法院司法辅助工作部门负责《最高人民法院司法技术专业机构、专家名册》（以下简称《名册》）的编制和对入册专业机构、专家的工作情况进行监督和协调。
6,第二章收案,,,,,最高人民法院的审判、执行部门在工作中对需要进行对外委托鉴定、检验、评估、审计、拍卖、变卖和指定破产清算管理人等工作的，应当制作《对外委托工作交接表》（格式表附后），同相关材料一起移送司法辅助工作部门。地方各级人民法院和专门人民法院需要委托最高人民法院对外委托鉴定、评估、拍卖等工作的，应当层报最高人民法院。
7,,,,,,对外委托鉴定、检验、评估、审计、变卖和指定破产清算管理人等工作时，应当移交以下材料：（一）相关的卷宗材料；（二）经法庭质证确认的当事人举证材料；（三）法院依职权调查核实的材料；（四）既往鉴定、检验、评估、审计、变卖和指定破产清算管理人报告文书；（五）申请方当事人和对方当事人及其辩护人、代理人的通讯地址、联系方式，代理人的代理权限；（六）与对外委托工作有关的其他材料。
8,,,,,,对外委托拍卖的案件移送时应当移交以下材料：（一）执行所依据的法律文书；（二）拍卖财产的评估报告副本和当事人确认价格的书面材料；（三）拍卖标的物的相关权属证明复印件；（四）拍卖标的物的来源和瑕疵情况说明；（五）拍卖财产现状调查表；（六）当事人授权书复印件；（七）当事人及其他相关权利人的基本情况及联系方式；（八）被执行人履行债务的情况说明。
9,,,,,,对外委托的收案工作由司法辅助工作部门的专门人员负责，按以下程序办理：（一）审查移送手续是否齐全；（二）审查、核对移送材料是否齐全，是否符合要求；（三）制作案件移送单并签名，报司法辅助工作部门负责人签字并加盖部门公章。由司法辅助工作部门和审判、执行部门各存一份备查；（四）进行收案登记。
10,,,,,,司法辅助工作部门负责人指定对外委托案件的监督、协调员。监督、协调员分为主办人和协办人。主办人负责接收案件，保管对外委托的卷宗等材料，按照委托要求与协办人办理对外委托工作；协办人应积极配合主办人完成工作。
11,,,,,,主办人接到案件后应在3个工作日内提出初审意见，对不具备委托条件的案件应制作《不予委托意见书》说明理由，报司法辅助工作部门负责人审批后，办理结案手续，并于3个工作日内将案件材料退回审判、执行部门。
